unit_code,department,unit_group,unit_name,unit_type,care_setting,capacity_class,source_bed_count,bed_capacity,is_bedded,dq_flag
HDU,CRITICAL CARE & INTENSIVE SERVICES,CRITICAL CARE,High Dependency Unit (HDU),HDU,CRITICAL_CARE,INPATIENT_LICENSED,6,6,yes,
W3A,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Ward 3A - General Acute,WARD,INPATIENT_WARD,INPATIENT_LICENSED,20,20,yes,
W4A,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Ward 4A - Acute Specialized,WARD,INPATIENT_WARD,INPATIENT_LICENSED,18,18,yes,
W4B,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Ward 4B - Acute Specialized,WARD,INPATIENT_WARD,INPATIENT_LICENSED,19,19,yes,
W5B,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Ward 5B - Acute Specialized,WARD,INPATIENT_WARD,INPATIENT_LICENSED,21,21,yes,
REHAB,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Rehabilitation Ward,WARD,INPATIENT_WARD,INPATIENT_LICENSED,17,17,yes,
PEDS,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Pediatric Ward,WARD,INPATIENT_WARD,INPATIENT_LICENSED,15,15,yes,
LND,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Labor & Delivery,LDR,INPATIENT_WARD,INPATIENT_LICENSED,15,15,yes,
OBGYN,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Obgyne Ward,WARD,INPATIENT_WARD,INPATIENT_LICENSED,17,17,yes,
AKU,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,AKU (Allergy/Kidney Unit),WARD,INPATIENT_WARD,INPATIENT_LICENSED,14,14,yes,
NBS,GENERAL & SPECIALTY SERVICES,ACUTE GENERAL CARE,Newborn Screening Unit,DIAGNOSTIC,DIAGNOSTIC,PROCEDURE_ROOM,3,3,no,DQ10_NOT_INPATIENT
DAY-SURG,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Day Surgery Unit,CLINIC,AMBULATORY,AMBULATORY_CHAIR,9,9,no,DQ10_NOT_INPATIENT
DAY-CARE,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Day Care Unit,CLINIC,AMBULATORY,AMBULATORY_CHAIR,3,3,no,DQ10_NOT_INPATIENT
OPD,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Outpatient Department (OPD),CLINIC,AMBULATORY,AMBULATORY_CHAIR,19,19,no,DQ10_NOT_INPATIENT
JAIL,GENERAL & SPECIALTY SERVICES,SECURE CARE,Jail Ward,SECURE_WARD,INPATIENT_WARD,INPATIENT_LICENSED,12,12,yes,DQ12_RECLASS
RRT,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Respiratory Rehab Therapy (RRT),THERAPY,AMBULATORY,PROCEDURE_ROOM,5,5,no,DQ10_NOT_INPATIENT
PLASTER-2,GENERAL & SPECIALTY SERVICES,PERIOPERATIVE,Plaster Unit (2nd Location),PROCEDURE,PERIOPERATIVE,PROCEDURE_ROOM,9,9,no,DQ1B_PENDING
UCC,EMERGENCY & ACUTE CARE,EMERGENCY,Urgent Care Center (UCC),UCC,EMERGENCY,ED_STRETCHER,15,15,yes,DQ12_REPARENT
EEG,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Electroencephalogram (EEG) Unit,DIAGNOSTIC,DIAGNOSTIC,PROCEDURE_ROOM,2,2,no,DQ10_NOT_INPATIENT
CLINICS,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Specialty Clinics (Multiple),CLINIC,AMBULATORY,AMBULATORY_CHAIR,4,4,no,DQ10_NOT_INPATIENT
ENDO,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Endoscopy Unit,DIAGNOSTIC,DIAGNOSTIC,PROCEDURE_ROOM,5,5,no,DQ10_NOT_INPATIENT
BLOOD,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Blood Collection Unit,DIAGNOSTIC,DIAGNOSTIC,PROCEDURE_ROOM,2,2,no,DQ10_NOT_INPATIENT
RAD,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Radiology Department,DIAGNOSTIC,DIAGNOSTIC,PROCEDURE_ROOM,6,6,no,DQ10_NOT_INPATIENT
DIAB,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Diabetic Center,CLINIC,AMBULATORY,AMBULATORY_CHAIR,10,10,no,DQ10_NOT_INPATIENT
ICU-EXT-2,GENERAL & SPECIALTY SERVICES,CRITICAL CARE,ICU Extension (2nd Location),ICU,CRITICAL_CARE,INPATIENT_LICENSED,14,14,yes,DQ1A_PENDING
DISCH,GENERAL & SPECIALTY SERVICES,SPECIALIZED & DIAGNOSTIC,Discharge Unit,CLINIC,AMBULATORY,AMBULATORY_CHAIR,2,2,no,DQ10_NOT_INPATIENT
ED-NAV-2,GENERAL & SPECIALTY SERVICES,EMERGENCY,ED Navigator (2nd Location),SUPPORT,SUPPORT,SUPPORT,5,,no,DQ2_PENDING
NIL,GENERAL & SPECIALTY SERVICES,SUPPORT & ADMINISTRATIVE SERVICES,Non-Invasive Laboratory,SUPPORT,SUPPORT,SUPPORT,,,no,DQ4_NON_BEDDED
ORTHO-TECH,GENERAL & SPECIALTY SERVICES,SUPPORT & ADMINISTRATIVE SERVICES,Orthopedic/Tech Services,SUPPORT,SUPPORT,SUPPORT,,,no,DQ4_NON_BEDDED
ADMIN-SUP,GENERAL & SPECIALTY SERVICES,SUPPORT & ADMINISTRATIVE SERVICES,Administrative Support Areas,SUPPORT,SUPPORT,SUPPORT,,,no,DQ4_NON_BEDDED
MCH-COORD,GENERAL & SPECIALTY SERVICES,SUPPORT & ADMINISTRATIVE SERVICES,Non-Maternal & Child Health Coord,SUPPORT,SUPPORT,SUPPORT,,,no,DQ4_NON_BEDDED
GEN-SUP,GENERAL & SPECIALTY SERVICES,SUPPORT & ADMINISTRATIVE SERVICES,General Support Services,SUPPORT,SUPPORT,SUPPORT,,,no,DQ4_NON_BEDDED
