unit_code,unit_name,department,capacity_class,is_bedded,source_bed_count,registry_licensed_capacity,registry_resource_capacity,dq_flag,walk_status,physical_exists,separate_footprint,physical_beds_counted,licensed_from_register,operational_today,desk_recommendation,notes
W3A,Ward 3A - General Acute,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,20,20,20,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
W4A,Ward 4A - Acute Specialized,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,18,18,18,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
W4B,Ward 4B - Acute Specialized,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,19,19,19,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
W5B,Ward 5B - Acute Specialized,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,21,21,21,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
REHAB,Rehabilitation Ward,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,17,17,17,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
PEDS,Pediatric Ward,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,15,15,15,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
LND,Labor & Delivery,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,15,15,15,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
OBGYN,Obgyne Ward,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,17,17,17,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
AKU,AKU (Allergy/Kidney Unit),GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,14,14,14,,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_LICENSED_BEDS,Walk and count licensed vs operational beds.
NBS,Newborn Screening Unit,GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,3,0,3,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
DAY-SURG,Day Surgery Unit,GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,9,0,9,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
DAY-CARE,Day Care Unit,GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,3,0,3,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
OPD,Outpatient Department (OPD),GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,19,0,19,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
JAIL,Jail Ward,GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,12,12,12,DQ12_RECLASS,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_SECURE_INPATIENT,Jail Ward treated as secure inpatient — confirm lock-ward footprint.
RRT,Respiratory Rehab Therapy (RRT),GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,5,0,5,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
PLASTER-2,Plaster Unit (2nd Location),GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,9,0,9,DQ1B_PENDING,NOT_WALKED,UNKNOWN,UNKNOWN,,,,PROPOSE_MERGE,Identical 9-count twin of PLASTER; default merge unless a second plaster suite exists.
UCC,Urgent Care Center (UCC),EMERGENCY & ACUTE CARE,ED_STRETCHER,yes,15,0,15,DQ12_REPARENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_ED_STRETCHER,UCC re-parented to Emergency — confirm it sits in the ED family on the floor.
EEG,Electroencephalogram (EEG) Unit,GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,2,0,2,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
CLINICS,Specialty Clinics (Multiple),GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,4,0,4,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
ENDO,Endoscopy Unit,GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,5,0,5,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
BLOOD,Blood Collection Unit,GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,2,0,2,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
RAD,Radiology Department,GENERAL & SPECIALTY SERVICES,PROCEDURE_ROOM,no,6,0,6,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify PROCEDURE_ROOM count; not ADT licensed beds.
DIAB,Diabetic Center,GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,10,0,10,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
ICU-EXT-2,ICU Extension (2nd Location),GENERAL & SPECIALTY SERVICES,INPATIENT_LICENSED,yes,14,14,14,DQ1A_PENDING,NOT_WALKED,UNKNOWN,UNKNOWN,,,,PROPOSE_MERGE,Identical 14-bed twin of ICU-EXT; default merge unless floor walk finds a second site.
DISCH,Discharge Unit,GENERAL & SPECIALTY SERVICES,AMBULATORY_CHAIR,no,2,0,2,DQ10_NOT_INPATIENT,NOT_WALKED,UNKNOWN,UNKNOWN,,,,COUNT_RESOURCES_NOT_BEDS,Verify AMBULATORY_CHAIR count; not ADT licensed beds.
ED-NAV-2,ED Navigator (2nd Location),GENERAL & SPECIALTY SERVICES,SUPPORT,no,5,0,0,DQ2_PENDING,NOT_WALKED,UNKNOWN,UNKNOWN,,,,KEEP_NON_BEDDED,Navigation is not licensed beds. Confirm one vs two desks on the walk.
NIL,Non-Invasive Laboratory,GENERAL & SPECIALTY SERVICES,SUPPORT,no,,0,0,DQ4_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,CONFIRM_NO_BEDS,Confirm no assignable patient beds.
ORTHO-TECH,Orthopedic/Tech Services,GENERAL & SPECIALTY SERVICES,SUPPORT,no,,0,0,DQ4_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,CONFIRM_NO_BEDS,Confirm no assignable patient beds.
ADMIN-SUP,Administrative Support Areas,GENERAL & SPECIALTY SERVICES,SUPPORT,no,,0,0,DQ4_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,CONFIRM_NO_BEDS,Confirm no assignable patient beds.
MCH-COORD,Non-Maternal & Child Health Coord,GENERAL & SPECIALTY SERVICES,SUPPORT,no,,0,0,DQ4_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,CONFIRM_NO_BEDS,Confirm no assignable patient beds.
GEN-SUP,General Support Services,GENERAL & SPECIALTY SERVICES,SUPPORT,no,,0,0,DQ4_NON_BEDDED,NOT_WALKED,UNKNOWN,UNKNOWN,,,,CONFIRM_NO_BEDS,Confirm no assignable patient beds.
